nature,75,0.000397722
home,75,0.000397722
find,75,0.000397722
done,75,0.000397722
does,75,0.000397722
whether,74,0.000392419
seen,74,0.000392419
school,74,0.000392419
looking,74,0.000392419
keep,74,0.000392419
hands,74,0.000392419
continued,74,0.000392419
answered,74,0.000392419
against,74,0.000392419
minutes,73,0.000387116
mine,73,0.000387116
hope,73,0.000387116
days,73,0.000387116
certain,73,0.000387116
sort,71,0.00037651
since,71,0.00037651
same,71,0.00037651
read,71,0.00037651
least,71,0.00037651
going,71,0.00037651
girl,71,0.00037651
alone,71,0.00037651
yourself,70,0.000371207
wished,70,0.000371207
diana,70,0.000371207
open,69,0.000365904
often,69,0.000365904
many,69,0.000365904
lay,69,0.000365904
things,68,0.000360601
sometimes,68,0.000360601
return,68,0.000360601
pleasure,68,0.000360601
course,68,0.000360601
brought,68,0.000360601
believe,68,0.000360601
set,67,0.000355298
low,67,0.000355298
himself,67,0.000355298
white,66,0.000349995
thus,66,0.000349995
hair,66,0.000349995
either,66,0.000349995
besides,66,0.000349995
whose,65,0.000344692
large,65,0.000344692
however,65,0.000344692
suppose,64,0.000339389
returned,64,0.000339389
people,64,0.000339389
live,64,0.000339389
gone,64,0.000339389
feeling,64,0.000339389
given,63,0.000334086
window,62,0.000328783
talk,62,0.000328783
taken,62,0.000328783
poor,62,0.000328783
part,62,0.000328783
opened,62,0.000328783
best,62,0.000328783
sit,61,0.00032348
rest,61,0.00032348
present,61,0.00032348
doubt,61,0.00032348
ask,61,0.00032348
table,60,0.000318177
anything,60,0.000318177
within,59,0.000312875
whom,59,0.000312875
silence,59,0.000312875
fear,59,0.000312875
quiet,58,0.000307572
lips,58,0.000307572
end,58,0.000307572
appeared,58,0.000307572
wild,57,0.000302269
turn,57,0.000302269
towards,57,0.000302269
helen,57,0.000302269
cried,57,0.000302269
sense,56,0.000296966
neither,56,0.000296966
gutenbergtm,56,0.000296966
fine,56,0.000296966
behind,56,0.000296966
liked,55,0.000291663
air,55,0.000291663
temple,54,0.00028636
stay,54,0.00028636
mason,54,0.00028636
married,54,0.00028636
lowood,54,0.00028636
kind,54,0.00028636
followed,54,0.00028636
fell,54,0.00028636
strong,53,0.000281057
rochesters,53,0.000281057
herself,53,0.000281057
happy,53,0.000281057
entered,53,0.000281057
began,53,0.000281057
already,53,0.000281057
rivers,52,0.000275754
care,52,0.000275754
brocklehurst,52,0.000275754
water,51,0.000270451
wanted,51,0.000270451
upon,51,0.000270451
person,51,0.000270451
pale,51,0.000270451
high,51,0.000270451
arms,51,0.000270451
whole,50,0.000265148
sisters,50,0.000265148
mean,50,0.000265148
kept,50,0.000265148
death,50,0.000265148
dead,50,0.000265148
received,49,0.000259845
longer,49,0.000259845
idea,49,0.000259845
used,48,0.000254542
sound,48,0.000254542
remember,48,0.000254542
next,48,0.000254542
marry,48,0.000254542
father,48,0.000254542
close,48,0.000254542
walk,47,0.000249239
step,47,0.000249239
shut,47,0.000249239
second,47,0.000249239
power,47,0.000249239
laid,47,0.000249239
grace,47,0.000249239
feelings,47,0.000249239
chair,47,0.000249239
wind,46,0.000243936
spoke,46,0.000243936
smile,46,0.000243936
ran,46,0.000243936
question,46,0.000243936
coming,46,0.000243936
character,46,0.000243936
candle,46,0.000243936
become,46,0.000243936
together,45,0.000238633
stopped,45,0.000238633
small,45,0.000238633
short,45,0.000238633
point,45,0.000238633
pass,45,0.000238633
less,45,0.000238633
human,45,0.000238633
features,45,0.000238633
deep,45,0.000238633
chapter,45,0.000238633
1,45,0.000238633
thoughts,44,0.00023333
sought,44,0.00023333
scarcely,44,0.00023333
order,44,0.00023333
held,44,0.00023333
exclaimed,44,0.00023333
drew,44,0.00023333
sent,43,0.000228027
road,43,0.000228027
glad,43,0.000228027
gentlemen,43,0.000228027
gateshead,43,0.000228027
forget,43,0.000228027
fast,43,0.000228027
during,43,0.000228027
call,43,0.000228027
book,43,0.000228027
struck,42,0.000222724
strength,42,0.000222724
spirit,42,0.000222724
silent,42,0.000222724
moon,42,0.000222724
hard,42,0.000222724
girls,42,0.000222724
georgiana,42,0.000222724
form,42,0.000222724
beyond,42,0.000222724
bear,42,0.000222724
added,42,0.000222724
presence,41,0.000217421
please,41,0.000217421
mother,41,0.000217421
matter,41,0.000217421
french,41,0.000217421
clear,41,0.000217421
change,41,0.000217421
bread,41,0.000217421
really,40,0.000212118
late,40,0.000212118
help,40,0.000212118
glance,40,0.000212118
feet,40,0.000212118
ere,40,0.000212118
business,40,0.000212118
above,40,0.000212118
tonight,39,0.000206815
tone,39,0.000206815
sweet,39,0.000206815
seat,39,0.000206815
reader,39,0.000206815
probably,39,0.000206815
mere,39,0.000206815
gutenberg,39,0.000206815
friends,39,0.000206815
expected,39,0.000206815
church,39,0.000206815
bright,39,0.000206815
amongst,39,0.000206815
state,38,0.000201512
soul,38,0.000201512
seek,38,0.000201512
none,38,0.000201512
need,38,0.000201512
lived,38,0.000201512
hours,38,0.000201512
hannah,38,0.000201512
die,38,0.000201512
conversation,38,0.000201512
ago,38,0.000201512
afternoon,38,0.000201512
works,37,0.000196209
wood,37,0.000196209
trouble,37,0.000196209
ten,37,0.000196209
soft,37,0.000196209
sky,37,0.000196209
past,37,0.000196209
ought,37,0.000196209
manner,37,0.000196209
hardly,37,0.000196209
further,37,0.000196209
family,37,0.000196209
fair,37,0.000196209
england,37,0.000196209
closed,37,0.000196209
bent,37,0.000196209
wonder,36,0.000190906
true,36,0.000190906
tall,36,0.000190906
sleep,36,0.000190906
five,36,0.000190906
filled,36,0.000190906
existence,36,0.000190906
children,36,0.000190906
chamber,36,0.000190906
usual,35,0.000185604
speaking,35,0.000185604
sitting,35,0.000185604
servants,35,0.000185604
reply,35,0.000185604
presently,35,0.000185604
living,35,0.000185604
glass,35,0.000185604
ear,35,0.000185604
distance,35,0.000185604
blood,35,0.000185604
arm,35,0.000185604
also,35,0.000185604
truth,34,0.000180301
taking,34,0.000180301
send,34,0.000180301
placed,34,0.000180301
money,34,0.000180301
loved,34,0.000180301
handsome,34,0.000180301
front,34,0.000180301
dressed,34,0.000180301
different,34,0.000180301
brother,34,0.000180301
afraid,34,0.000180301
use,33,0.000174998
trees,33,0.000174998
suddenly,33,0.000174998
servant,33,0.000174998
quietly,33,0.000174998
others,33,0.000174998
men,33,0.000174998
meet,33,0.000174998
letter,33,0.000174998
gentleman,33,0.000174998
future,33,0.000174998
fortune,33,0.000174998
dream,33,0.000174998
deal,33,0.000174998
brow,33,0.000174998
bad,33,0.000174998
approached,33,0.000174998
aid,33,0.000174998
walked,32,0.000169695
tears,32,0.000169695
sun,32,0.000169695
schoolroom,32,0.000169695
scene,32,0.000169695
rising,32,0.000169695
rise,32,0.000169695
rain,32,0.000169695
pleasant,32,0.000169695
e,32,0.000169695
case,32,0.000169695
age,32,0.000169695
watched,31,0.000164392
watch,31,0.000164392
tea,31,0.000164392
subject,31,0.000164392
sight,31,0.000164392
replied,31,0.000164392
ready,31,0.000164392
pity,31,0.000164392
nurse,31,0.000164392
lost,31,0.000164392
listen,31,0.000164392
laugh,31,0.000164392
interest,31,0.000164392
grave,31,0.000164392
four,31,0.000164392
flowers,31,0.000164392
dress,31,0.000164392
doing,31,0.000164392
certainly,31,0.000164392
calm,31,0.000164392
blue,31,0.000164392
wall,30,0.000159089
understand,30,0.000159089
times,30,0.000159089
somewhat,30,0.000159089
shook,30,0.000159089
real,30,0.000159089
offer,30,0.000159089
observed,30,0.000159089
natural,30,0.000159089
narrow,30,0.000159089
months,30,0.000159089
gallery,30,0.000159089
forehead,30,0.000159089
dinner,30,0.000159089
dared,30,0.000159089
cheek,30,0.000159089
burns,30,0.000159089
broken,30,0.000159089
broke,30,0.000159089
breakfast,30,0.000159089
became,30,0.000159089
beauty,30,0.000159089
along,30,0.000159089
week,29,0.000153786
try,29,0.000153786
tired,29,0.000153786
terms,29,0.000153786
stranger,29,0.000153786
show,29,0.000153786
rich,29,0.000153786
plain,29,0.000153786
millcote,29,0.000153786
means,29,0.000153786
lifted,29,0.000153786
governess,29,0.000153786
forward,29,0.000153786
foot,29,0.000153786
flesh,29,0.000153786
else,29,0.000153786
effort,29,0.000153786
dear,29,0.000153786
countenance,29,0.000153786
clean,29,0.000153786
carriage,29,0.000153786
below,29,0.000153786
upstairs,28,0.000148483
task,28,0.000148483
saying,28,0.000148483
proceeded,28,0.000148483
mama,28,0.000148483
maam,28,0.000148483
led,28,0.000148483
kitchen,28,0.000148483
hold,28,0.000148483
garden,28,0.000148483
free,28,0.000148483
feared,28,0.000148483
dent,28,0.000148483
delight,28,0.000148483
dare,28,0.000148483
curtain,28,0.000148483
bell,28,0.000148483
beautiful,28,0.000148483
whatever,27,0.00014318
weeks,27,0.00014318
thank,27,0.00014318
steps,27,0.00014318
sophie,27,0.00014318
smiled,27,0.00014318
sister,27,0.00014318
showed,27,0.00014318
promise,27,0.00014318
offered,27,0.00014318
oclock,27,0.00014318
nursery,27,0.00014318
nearly,27,0.00014318
miles,27,0.00014318
marriage,27,0.00014318
language,27,0.00014318
husband,27,0.00014318
heaven,27,0.00014318
hearth,27,0.00014318
ground,27,0.00014318
grew,27,0.00014318
green,27,0.00014318
eshton,27,0.00014318
eliza,27,0.00014318
electronic,27,0.00014318
books,27,0.00014318
tried,26,0.000137877
tomorrow,26,0.000137877
third,26,0.000137877
thinking,26,0.000137877
thin,26,0.000137877
stand,26,0.000137877
pure,26,0.000137877
pounds,26,0.000137877
passing,26,0.000137877
notice,26,0.000137877
meantime,26,0.000137877
liberty,26,0.000137877
inquired,26,0.000137877
happened,26,0.000137877
frame,26,0.000137877
eat,26,0.000137877
consider,26,0.000137877
afterwards,26,0.000137877
affection,26,0.000137877
absolutely,26,0.000137877
year,25,0.000132574
wet,25,0.000132574
walls,25,0.000132574
wait,25,0.000132574
town,25,0.000132574
tale,25,0.000132574
society,25,0.000132574
settled,25,0.000132574
seems,25,0.000132574
says,25,0.000132574
removed,25,0.000132574
reached,25,0.000132574
pupil,25,0.000132574
picture,25,0.000132574
passion,25,0.000132574
parlour,25,0.000132574
pain,25,0.000132574
ones,25,0.000132574
moor,25,0.000132574
met,25,0.000132574
leah,25,0.000132574
horse,25,0.000132574
figure,25,0.000132574
drawn,25,0.000132574
cut,25,0.000132574
considered,25,0.000132574
company,25,0.000132574
circumstances,25,0.000132574
c,25,0.000132574
bonnet,25,0.000132574
account,25,0.000132574
twenty,24,0.000127271
thousand,24,0.000127271
taste,24,0.000127271
standing,24,0.000127271
seem,24,0.000127271
sad,24,0.000127271
resolved,24,0.000127271
reason,24,0.000127271
poole,24,0.000127271
party,24,0.000127271
oliver,24,0.000127271
moved,24,0.000127271
morton,24,0.000127271
likely,24,0.000127271
